TIME,BUY,BUY,,BUY,BUY,SELL,SELL,BUY,116.97
2017-02-10T14:30:01.639,132.46,116.97,,37.41,132.46,132.46,37.41,115.745,116.97
2017-02-10T14:30:06.674,132.47,116.97,,37.41,132.47,132.5,37.41,115.745,116.2
2017-02-10T14:30:11.705,132.32,116.2,,37.68,132.32,132.4,38,115.82,116.2
2017-02-10T14:30:16.732,132.3,116.2,,37.68,132.3,132.42,38,115.82,116.49
2017-02-10T14:30:21.755,132.31,116.49,,37.68,132.31,132.47,38,115.82,116.5
2017-02-10T14:30:26.777,132.43,116.5,,37.68,132.43,132.5,38.12,115.82,116.5
2017-02-10T14:30:31.799,132.42,116.5,,37.68,132.42,132.47,38.12,115.82,116.51
2017-02-10T14:30:36.821,132.44,116.51,,37.68,132.44,132.5,38.12,115.82,116.54
2017-02-10T14:30:41.844,132.45,116.54,,37.68,132.45,132.5,38.12,115.86,116.54
2017-02-10T14:30:46.873,132.47,116.54,,37.71,132.47,132.5,37.96,115.86,116.54
2017-02-10T14:30:51.900,132.37,116.54,,37.87,132.37,132.39,37.96,115.86,116.59
2017-02-10T14:30:56.930,132.37,116.59,,37.87,132.37,132.39,37.96,115.86,116.72
2017-02-10T14:31:01.950,132.42,116.72,,37.87,132.42,132.46,37.96,115.86,116.72
2017-02-10T14:31:06.979,132.44,116.72,,37.8,132.44,132.49,38.12,115.86,116.72
2017-02-10T14:31:12.009,132.47,116.72,,37.8,132.47,132.49,38.12,115.86,116.72
2017-02-10T14:31:17.042,132.63,116.72,,37.8,132.63,132.68,37.95,115.86,116.72
2017-02-10T14:31:22.109,132.63,116.72,,37.74,132.63,132.68,37.95,115.86,116.72
2017-02-10T14:31:26.148,132.69,116.72,,37.68,132.69,132.74,37.92,115.86,116.72
2017-02-10T14:31:31.168,132.72,116.72,,37.68,132.72,132.76,37.92,115.86,116.72
2017-02-10T14:31:36.196,132.73,116.72,,37.68,132.73,132.75,37.92,115.86,116.72
2017-02-10T14:31:41.219,132.75,116.72,,37.8,132.75,132.79,37.92,115.86,116.72
2017-02-10T14:31:46.242,132.68,116.72,,37.68,132.68,132.71,37.92,115.86,116.72
2017-02-10T14:31:51.265,132.71,116.72,,37.68,132.71,132.75,37.92,115.86,116.72
2017-02-10T14:31:56.291,132.64,116.72,,37.76,132.64,132.67,38.1,115.86,116.74
2017-02-10T14:32:01.342,132.68,116.74,,37.83,132.68,132.72,38.1,115.85,116.74
2017-02-10T14:32:06.401,132.71,116.74,,37.83,132.71,132.74,38.1,115.85,116.74
2017-02-10T14:32:11.424,132.76,116.74,,37.83,132.76,132.8,38.1,115.85,116.76
2017-02-10T14:32:16.448,132.77,116.76,,37.83,132.77,132.78,38.1,115.76,116.78
2017-02-10T14:32:21.476,132.72,116.78,,37.83,132.72,132.76,38.03,115.76,116.79
2017-02-10T14:32:26.501,132.72,116.79,,37.83,132.72,132.76,38.03,115.76,116.79
2017-02-10T14:32:31.525,132.67,116.79,,37.68,132.67,132.7,37.95,115.84,116.79
2017-02-10T14:32:36.542,132.67,116.79,,37.68,132.67,132.71,37.95,115.84,116.81
2017-02-10T14:32:41.565,132.7,116.81,,37.66,132.7,132.76,37.86,115.84,116.83
2017-02-10T14:32:46.586,132.74,116.83,,37.76,132.74,132.76,37.86,115.76,116.83
2017-02-10T14:32:51.607,132.74,116.83,,37.72,132.74,132.76,37.86,115.76,116.93
2017-02-10T14:32:56.628,132.67,116.93,,37.57,132.67,132.72,37.84,115.96,116.93
