Date, Open, High, Low, Close
12/31/09, 1126.60, 1127.64, 1114.81, 1115.10
12/30/09, 1125.53, 1126.42, 1121.94, 1126.42
12/29/09, 1128.55, 1130.38, 1126.08, 1126.20
12/28/09, 1127.53, 1130.38, 1123.51, 1127.78
12/24/09, 1121.08, 1126.48, 1121.08, 1126.48
12/23/09, 1118.84, 1121.58, 1116.00, 1120.59
12/22/09, 1114.51, 1120.27, 1114.51, 1118.02
12/21/09, 1105.31, 1117.68, 1105.31, 1114.05
12/18/09, 1097.86, 1103.74, 1093.88, 1102.47
12/17/09, 1106.36, 1106.36, 1095.88, 1096.08
12/16/09, 1108.61, 1116.21, 1107.96, 1109.18
12/15/09, 1114.11, 1114.11, 1105.35, 1107.93
12/14/09, 1107.84, 1114.76, 1107.84, 1114.11
12/11/09, 1103.96, 1108.50, 1101.34, 1106.41
12/10/09, 1098.69, 1106.25, 1098.69, 1102.35
12/09/09, 1091.07, 1097.04, 1085.89, 1095.95
12/08/09, 1103.04, 1103.04, 1088.61, 1091.94
12/07/09, 1105.52, 1110.72, 1100.83, 1103.25
12/04/09, 1100.43, 1119.13, 1096.52, 1105.98
12/03/09, 1110.59, 1117.28, 1098.74, 1099.92
12/02/09, 1109.03, 1115.58, 1105.29, 1109.24
12/01/09, 1098.89, 1112.28, 1098.89, 1108.86
11/30/09, 1091.07, 1097.24, 1086.25, 1095.63
11/27/09, 1105.47, 1105.47, 1083.74, 1087.27
11/25/09, 1106.49, 1111.18, 1104.75, 1110.63
11/24/09, 1105.83, 1107.56, 1097.63, 1105.65
11/23/09, 1094.86, 1112.38, 1094.86, 1106.24
11/20/09, 1094.66, 1094.66, 1086.81, 1091.38
11/19/09, 1106.44, 1106.44, 1088.40, 1094.90
11/18/09, 1109.44, 1111.10, 1102.70, 1109.80
11/17/09, 1109.22, 1110.52, 1102.19, 1110.32
11/16/09, 1094.13, 1113.69, 1094.13, 1109.30
11/13/09, 1087.59, 1097.79, 1085.33, 1093.48
11/12/09, 1098.31, 1101.97, 1084.90, 1087.24
11/11/09, 1096.04, 1105.37, 1093.81, 1098.51
11/10/09, 1091.86, 1096.42, 1087.40, 1093.01
11/09/09, 1072.31, 1093.19, 1072.31, 1093.08
11/06/09, 1064.95, 1071.48, 1059.32, 1069.30
11/05/09, 1047.30, 1066.65, 1047.30, 1066.63
11/04/09, 1047.14, 1061.00, 1045.15, 1046.50
11/03/09, 1040.92, 1046.36, 1033.94, 1045.41
11/02/09, 1036.18, 1052.18, 1029.38, 1042.88
10/30/09, 1065.41, 1065.41, 1033.38, 1036.19
10/29/09, 1043.69, 1066.83, 1043.69, 1066.11
10/28/09, 1061.51, 1063.26, 1042.19, 1042.63
10/27/09, 1067.54, 1072.48, 1060.62, 1063.41
10/26/09, 1080.36, 1091.75, 1065.23, 1066.95
10/23/09, 1095.62, 1095.83, 1075.49, 1079.60
10/22/09, 1080.96, 1095.21, 1074.31, 1092.91
10/21/09, 1090.36, 1101.36, 1080.77, 1081.40
10/20/09, 1098.64, 1098.64, 1086.16, 1091.06
10/19/09, 1088.22, 1100.17, 1086.48, 1097.91
10/16/09, 1094.67, 1094.67, 1081.53, 1087.68
10/15/09, 1090.36, 1096.56, 1086.41, 1096.56
10/14/09, 1078.68, 1093.17, 1078.68, 1092.02
10/13/09, 1074.96, 1075.30, 1066.71, 1073.19
10/12/09, 1071.63, 1079.46, 1071.63, 1076.19
10/09/09, 1065.28, 1071.51, 1063.00, 1071.49
10/08/09, 1060.03, 1070.67, 1060.03, 1065.48
10/07/09, 1053.65, 1058.02, 1050.10, 1057.58
10/06/09, 1042.02, 1060.55, 1042.02, 1054.72
10/05/09, 1026.87, 1042.58, 1025.92, 1040.46
10/02/09, 1029.71, 1030.60, 1019.95, 1025.21
10/01/09, 1054.91, 1054.91, 1029.45, 1029.85
09/30/09, 1061.02, 1063.40, 1046.47, 1057.08
09/29/09, 1063.69, 1069.62, 1057.83, 1060.61
09/28/09, 1045.38, 1065.13, 1045.38, 1062.98
09/25/09, 1049.48, 1053.47, 1041.17, 1044.38
